GRBa,GRB X-ray position,Error,Instrument,IPNb,XAb,OTb,RAb,IAUC,zc,position,sod,seen_by_fermi,name
210204A,07h48m19s +11° 25',0.01,ZTF,y,y,y,y,,0.876,"<SkyCoord (ICRS): (ra, dec) in deg
    (117.07916667, 11.41666667)>",23365.66,True,bn210204270
210104A,06h54m49s +64° 40',3,Swift,y,y,y,,,0.46,"<SkyCoord (ICRS): (ra, dec) in deg
    (103.70416667, 64.66666667)>",41219.1,True,bn210104477
210102C,15h42m57s -37° 13',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (235.7375, -37.21666667)>",74291.37,True,bn210102861
201223A,08h51m24s +71° 10',3,Swift,y,y,y,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (132.85, 71.16666667)>",64706.97,True,bn201223749
201221A,14h17m55s -45° 25',3,Swift,y,y,y,,,5.70,"<SkyCoord (ICRS): (ra, dec) in deg
    (214.47916667, -45.41666667)>",25741.42,True,bn201221303
201218A,19h13m59s +28° 21',26*7,IPN,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (288.49583333, 28.35)>",15255.9,True,bn201218177
201216C,01h05m26s +16° 32',3,Swift,y,y,y,,,1.10,"<SkyCoord (ICRS): (ra, dec) in deg
    (16.35833333, 16.53333333)>",83251.72,True,bn201216963
201105A,16h22m26s +12° 44',3,Swift,y,,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (245.60833333, 12.73333333)>",19867.76,True,bn201105230
201029A,15h18m24s +44° 28',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (229.6, 44.46666667)>",73190.1,True,bn201029847
201026A,13h06m39s +83° 46',3,Swift,y,y,,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (196.6625, 83.76666667)>",81454.18,True,bn201026943
201021C,00h50m12s -55° 50',3,Swift,y,y,y,,,1.070,"<SkyCoord (ICRS): (ra, dec) in deg
    (12.55, -55.83333333)>",73638.66,True,bn201021852
201020A,17h24m59s +31° 25',3,Swift,y,y,y,,,2.903,"<SkyCoord (ICRS): (ra, dec) in deg
    (261.24583333, 31.41666667)>",20846.16,True,bn201020241
201017A,02h26m32s +66° 40',3,Swift,y,y,?,,,,"<SkyCoord (ICRS): (ra, dec) in deg
    (36.63333333, 66.66666667)>",35191.26,True,bn201017407
